Date,Open,High,Low,Close,Adj Close,Volume
2023-06-20,73.500000,74.040001,71.930000,73.160004,70.604080,1135400
2023-06-21,72.650002,73.629997,72.400002,73.279999,70.719879,886400
2023-06-22,72.940002,74.360001,72.860001,73.800003,71.221718,1022700
2023-06-23,72.309998,72.309998,70.629997,71.250000,68.760803,1334500
2023-06-26,71.639999,72.889999,71.489998,72.639999,70.102242,817000
2023-06-27,73.000000,73.669998,72.669998,73.400002,70.835686,845500
2023-06-28,71.220001,71.480003,70.089996,70.680000,68.210716,1339000
2023-06-29,70.480003,70.769997,69.830002,70.660004,68.191422,1130400
2023-06-30,71.260002,71.809998,70.599998,71.739998,69.233688,1000400
2023-07-03,72.570000,73.470001,72.349998,72.820000,70.275948,438400
2023-07-05,71.489998,71.940002,70.400002,70.879997,68.403725,1137500
2023-07-06,69.290001,70.029999,67.639999,69.000000,66.589409,1220400
2023-07-07,69.440002,71.199997,69.209999,70.669998,68.201057,799500
2023-07-10,70.000000,71.449997,70.000000,70.940002,68.461639,789800
2023-07-11,71.730003,72.150002,71.099998,72.139999,69.619713,691400
2023-07-12,73.760002,74.150002,72.949997,74.129997,71.540176,967100
2023-07-13,75.190002,78.040001,75.000000,77.940002,75.217087,1400200
2023-07-14,77.709999,78.180000,76.570000,76.779999,74.097603,1306300
2023-07-17,75.199997,75.989998,74.779999,75.889999,73.238693,643400
2023-07-18,75.589996,77.209999,75.470001,76.639999,73.962502,987500
2023-07-19,75.480003,76.889999,75.220001,76.760002,74.078300,1237700
2023-07-20,77.870003,78.879997,77.379997,78.260002,75.525902,1269800
2023-07-21,78.650002,78.750000,77.930000,78.370003,75.632057,838400
2023-07-24,78.389999,79.879997,78.169998,79.370003,76.597122,948100
2023-07-25,80.599998,84.500000,80.440002,83.589996,80.669693,1953300
2023-07-26,83.389999,84.760002,83.300003,84.019997,81.084663,1612000
2023-07-27,84.029999,85.720001,83.730003,83.970001,81.036415,1384200
2023-07-28,85.339996,85.440002,83.000000,85.220001,82.242752,785300
2023-07-31,85.849998,87.589996,85.849998,87.440002,84.385193,1201400
2023-08-01,86.029999,86.129997,84.519997,84.889999,81.924271,1286800
2023-08-02,82.959999,83.989998,81.720001,82.099998,79.231743,1102800
2023-08-03,82.129997,84.459999,82.110001,83.769997,80.843399,1053900
2023-08-04,83.540001,84.199997,82.790001,83.879997,80.949554,1021600
2023-08-07,84.330002,84.550003,83.379997,84.059998,81.123268,904100
2023-08-08,81.029999,84.110001,80.709999,83.639999,81.689743,1302500
2023-08-09,84.370003,84.480003,82.919998,83.400002,81.455345,834200
2023-08-10,83.949997,85.070000,82.620003,83.260002,81.318604,1042100
2023-08-11,82.029999,82.660004,81.500000,82.150002,80.234489,1157100
2023-08-14,81.000000,81.839996,79.750000,81.650002,79.746155,966400
2023-08-15,80.669998,80.849998,79.699997,80.150002,78.281128,1155700
2023-08-16,79.599998,81.050003,79.290001,80.300003,78.427628,1294200
2023-08-17,81.919998,82.230003,79.809998,79.949997,78.085785,891800
2023-08-18,79.000000,79.040001,76.949997,77.250000,75.448746,1509800
2023-08-21,77.580002,78.720001,77.430000,78.580002,76.747734,857800
2023-08-22,79.949997,79.959999,78.750000,79.220001,77.372810,704600
2023-08-23,79.559998,81.620003,79.209999,81.419998,79.521507,1121100
2023-08-24,80.320000,81.199997,78.790001,78.919998,77.079803,1185900
2023-08-25,79.389999,79.440002,77.000000,77.790001,75.976158,653400
2023-08-28,78.500000,79.099998,78.080002,78.980003,77.138405,1033800
2023-08-29,79.000000,80.529999,78.379997,80.519997,78.642494,856200
2023-08-30,80.629997,81.360001,80.180000,81.059998,79.169899,738100
2023-08-31,81.110001,81.470001,80.580002,80.660004,78.779236,872500
2023-09-01,82.379997,83.110001,81.930000,82.139999,80.224724,703400
2023-09-05,81.739998,82.330002,79.239998,79.300003,77.450951,1259300
2023-09-06,78.629997,79.599998,78.029999,79.580002,77.724411,1060300
2023-09-07,78.550003,78.769997,77.830002,78.500000,76.669594,803200
2023-09-08,78.040001,78.769997,77.720001,78.720001,76.884468,789500
2023-09-11,81.040001,81.360001,80.150002,80.400002,78.525299,528700
2023-09-12,79.489998,80.389999,78.959999,79.290001,77.441177,771900
2023-09-13,79.290001,79.370003,78.099998,78.370003,76.542633,743500
2023-09-14,80.050003,81.309998,80.019997,80.209999,78.339722,1275200
2023-09-15,80.320000,80.550003,79.660004,79.769997,77.909981,1639100
2023-09-18,79.650002,80.050003,78.940002,79.660004,77.802559,734400
2023-09-19,79.599998,79.919998,77.889999,78.500000,76.669594,762100
2023-09-20,79.089996,79.849998,77.830002,77.879997,76.064049,425300
2023-09-21,76.000000,76.839996,75.040001,76.000000,74.227890,1213200
2023-09-22,77.000000,77.250000,74.470001,74.730003,72.987511,1361900
2023-09-25,74.000000,74.769997,73.220001,74.500000,72.762863,1086800
2023-09-26,73.559998,74.360001,72.440002,72.660004,70.965767,2155500
2023-09-27,73.099998,73.260002,71.949997,72.800003,71.102509,1029900
2023-09-28,73.860001,75.470001,73.750000,75.000000,73.251205,781300
2023-09-29,76.139999,76.620003,75.019997,75.290001,73.534447,799200
2023-10-02,74.489998,75.459999,73.230003,73.949997,72.225685,1027900
2023-10-03,72.709999,74.120003,72.650002,73.470001,71.756882,859300
2023-10-04,73.540001,73.889999,72.180000,73.339996,71.629913,1103000
2023-10-05,73.239998,73.940002,71.540001,71.690002,70.018387,980600
2023-10-06,72.260002,74.370003,71.910004,73.930000,72.206154,1205000
2023-10-09,73.120003,74.550003,72.910004,74.180000,72.450325,605300
2023-10-10,74.860001,75.930000,74.559998,75.209999,73.456314,708500
2023-10-11,75.709999,75.830002,74.010002,74.330002,72.596832,810600
2023-10-12,74.250000,74.410004,71.720001,72.349998,70.662994,844500
2023-10-13,72.959999,73.320000,71.800003,72.139999,70.457893,668500
2023-10-16,72.650002,73.570000,72.199997,73.110001,71.405281,766500
2023-10-17,72.000000,74.269997,71.870003,73.830002,72.108490,652100
2023-10-18,72.660004,72.779999,71.099998,71.110001,69.451912,801600
2023-10-19,70.989998,71.360001,70.260002,70.879997,69.227272,914300
2023-10-20,70.169998,70.889999,69.720001,70.199997,68.563126,852200
2023-10-23,69.800003,70.540001,69.080002,70.169998,68.533829,801600
2023-10-24,70.559998,71.910004,70.199997,71.250000,69.588646,759300
2023-10-25,71.250000,74.059998,69.470001,69.570000,67.947815,1630200
2023-10-26,69.570000,71.419998,69.260002,70.639999,68.992874,880200
2023-10-27,72.650002,73.669998,71.220001,71.529999,69.862114,938100
2023-10-30,72.489998,72.690002,71.639999,71.779999,70.106285,853500
2023-10-31,71.150002,71.389999,70.220001,70.900002,69.246811,926100
2023-11-01,71.239998,72.050003,70.379997,71.910004,70.233261,686800
2023-11-02,73.199997,74.449997,72.680000,73.860001,72.137794,1045600
2023-11-03,74.440002,75.260002,73.930000,74.260002,72.528458,844700
2023-11-06,74.599998,75.000000,73.959999,74.230003,72.499168,583500
2023-11-07,71.910004,72.440002,70.989998,71.290001,70.578522,651100
2023-11-08,70.959999,71.580002,69.599998,70.330002,69.628105,835400
2023-11-09,70.900002,71.320000,69.690002,69.820000,69.123192,723400
2023-11-10,69.730003,70.730003,68.930000,70.669998,69.964706,795700
2023-11-13,70.519997,70.930000,70.129997,70.180000,69.479599,575200
2023-11-14,72.300003,74.360001,71.989998,74.089996,73.350578,1360600
2023-11-15,74.769997,75.900002,74.199997,75.309998,74.558403,1340200
2023-11-16,74.839996,75.279999,73.919998,74.870003,74.122795,680400
2023-11-17,75.430000,75.629997,74.680000,74.750000,74.003990,788000
2023-11-20,75.000000,75.690002,74.300003,74.830002,74.083199,1051300
2023-11-21,75.209999,77.209999,75.169998,76.070000,75.310822,1448300
2023-11-22,75.800003,76.459999,74.650002,75.230003,74.479210,778600
2023-11-24,74.989998,75.070000,73.949997,74.209999,73.469383,533400
2023-11-27,72.250000,73.000000,70.940002,71.010002,70.301323,1712600
2023-11-28,71.010002,71.879997,70.629997,71.839996,71.123032,1423700
2023-11-29,72.250000,72.360001,71.360001,71.769997,71.053734,857800
2023-11-30,71.980003,72.180000,71.309998,71.930000,71.212135,1559300
2023-12-01,72.760002,76.779999,72.529999,76.739998,75.974129,1591300
2023-12-04,74.529999,75.230003,73.330002,73.690002,72.954575,925600
2023-12-05,72.910004,72.910004,71.480003,71.589996,70.875526,1017800
2023-12-06,72.290001,72.610001,70.959999,71.269997,70.558723,777000
2023-12-07,71.699997,72.099998,70.919998,71.669998,70.954727,936700
2023-12-08,72.129997,76.099998,71.760002,75.449997,74.697006,1484900
2023-12-11,74.040001,75.250000,73.180000,75.129997,74.380196,846100
2023-12-12,74.860001,75.220001,74.260002,74.830002,74.083199,733000
2023-12-13,74.680000,77.730003,73.779999,77.349998,76.578041,1067500
2023-12-14,78.989998,81.790001,78.980003,81.709999,80.894531,1782100
2023-12-15,81.099998,82.669998,80.440002,82.279999,81.458839,2193500
2023-12-18,82.500000,83.900002,82.500000,82.820000,81.993454,1248900
2023-12-19,84.250000,85.160004,83.809998,84.959999,84.112099,834600
2023-12-20,84.110001,84.830002,83.220001,83.300003,82.468666,1300700
2023-12-21,84.879997,86.199997,84.129997,85.989998,85.131813,958200
2023-12-22,86.970001,87.760002,86.349998,87.599998,86.725746,1265600
2023-12-26,87.959999,88.260002,87.089996,87.300003,86.428749,605100
2023-12-27,87.610001,88.339996,87.370003,88.199997,87.319756,775400
2023-12-28,87.760002,88.400002,87.330002,87.330002,86.458443,674500
2023-12-29,85.989998,86.570000,84.449997,86.070000,85.211021,784200
2024-01-02,85.279999,86.169998,84.099998,84.660004,83.815094,1152700
2024-01-03,82.370003,84.360001,81.180000,83.889999,83.052773,1230300
2024-01-04,83.510002,84.150002,83.120003,83.809998,82.973572,737800
2024-01-05,83.540001,85.000000,83.169998,83.580002,82.745872,693400
2024-01-08,82.930000,85.500000,82.589996,85.489998,84.636803,733800
2024-01-09,84.419998,84.860001,83.870003,84.279999,83.438881,936700
2024-01-10,84.029999,84.279999,83.220001,83.309998,82.478561,680200
2024-01-11,84.050003,84.089996,82.209999,83.040001,82.211258,725100
2024-01-12,83.800003,84.209999,82.809998,83.139999,82.310257,630400
2024-01-16,81.750000,81.910004,79.669998,79.680000,78.884789,1316700
2024-01-17,78.089996,78.720001,77.139999,78.480003,77.696770,918700
2024-01-18,78.900002,78.919998,77.629997,78.809998,78.023476,779600
2024-01-19,78.809998,81.129997,78.250000,81.089996,80.280716,1305300
2024-01-22,79.980003,81.419998,79.739998,80.419998,79.617401,1161600
2024-01-23,81.500000,82.809998,81.290001,81.959999,81.142036,1269300
2024-01-24,84.800003,85.180000,83.110001,83.250000,82.419167,901900
2024-01-25,83.830002,84.290001,82.800003,83.820000,82.983475,1109900
2024-01-26,84.379997,85.139999,82.779999,83.199997,82.369659,768800
2024-01-29,83.419998,84.019997,82.599998,83.660004,82.825073,772900
2024-01-30,82.510002,83.300003,82.000000,82.790001,81.963753,893300
2024-01-31,83.279999,84.449997,82.070000,82.099998,81.280640,1039100
2024-02-01,82.669998,83.820000,82.449997,83.790001,82.953773,1005300
2024-02-02,81.599998,82.709999,80.349998,81.730003,80.914337,1302400
2024-02-05,80.000000,80.000000,78.459999,79.690002,78.894691,1254300
2024-02-06,80.540001,82.400002,80.500000,82.209999,81.389542,1004900
2024-02-07,82.129997,82.190002,80.540001,82.029999,81.211334,702400
2024-02-08,81.500000,81.620003,79.879997,80.940002,80.132217,795800
2024-02-09,80.589996,80.940002,79.620003,80.160004,79.360008,988800
2024-02-12,79.589996,80.660004,79.309998,80.279999,80.279999,654600
2024-02-13,78.750000,79.070000,77.419998,78.029999,78.029999,1010000
2024-02-14,78.650002,80.169998,78.529999,80.120003,80.120003,639100
2024-02-15,80.680000,83.080002,80.570000,82.970001,82.970001,968700
2024-02-16,84.050003,85.620003,83.500000,83.690002,83.690002,900100
2024-02-20,82.839996,83.139999,81.930000,82.360001,82.360001,581600
2024-02-21,82.540001,83.540001,82.430000,83.370003,83.370003,645400
2024-02-22,83.449997,83.830002,82.480003,83.139999,83.139999,712100
2024-02-23,83.290001,83.419998,81.769997,82.029999,82.029999,596800
2024-02-26,80.620003,80.620003,79.199997,79.940002,79.940002,707100
2024-02-27,80.779999,80.959999,79.849998,80.800003,80.800003,682600
2024-02-28,79.910004,80.239998,78.820000,78.889999,78.889999,536900
2024-02-29,80.419998,81.050003,80.169998,80.860001,80.860001,1080800
2024-03-01,81.300003,81.860001,80.320000,80.660004,80.660004,685900
2024-03-04,80.660004,81.820000,79.330002,81.790001,81.790001,760300
2024-03-05,81.290001,81.610001,79.589996,80.029999,80.029999,808600
2024-03-06,81.949997,82.529999,81.120003,81.389999,81.389999,884400
2024-03-07,83.839996,86.230003,83.220001,84.739998,84.739998,1318400
2024-03-08,85.279999,86.529999,84.879997,86.279999,86.279999,1582900
2024-03-11,85.820000,86.889999,85.269997,86.449997,86.449997,1225300
2024-03-12,87.000000,87.599998,86.279999,87.500000,87.500000,776500
2024-03-13,89.900002,97.500000,89.900002,96.300003,96.300003,3358700
2024-03-14,96.760002,98.199997,95.650002,97.180000,97.180000,2270600
2024-03-15,99.199997,103.580002,98.830002,103.000000,103.000000,3638500
2024-03-18,103.800003,104.830002,102.199997,102.599998,102.599998,1978500
2024-03-19,100.459999,100.820000,98.900002,99.800003,99.800003,1501300
2024-03-20,99.480003,103.750000,98.709999,103.239998,103.239998,1262300
2024-03-21,104.129997,104.150002,102.449997,103.550003,103.550003,1069100
2024-03-22,103.910004,105.260002,103.089996,104.360001,104.360001,1659000
2024-03-25,105.099998,106.919998,103.870003,103.889999,103.889999,1052000
2024-03-26,104.510002,104.599998,101.860001,102.099998,102.099998,898300
2024-03-27,102.449997,104.529999,102.000000,104.320000,104.320000,1030200
2024-03-28,104.989998,107.129997,104.779999,106.519997,106.519997,1130000
2024-04-01,107.760002,108.320000,106.489998,107.040001,107.040001,807700
2024-04-02,107.629997,108.660004,106.510002,107.769997,107.769997,1357000
2024-04-03,108.570000,111.849998,108.019997,111.230003,111.230003,1642500
2024-04-04,111.900002,112.349998,108.519997,109.589996,109.589996,1484100
2024-04-05,109.080002,110.720001,108.250000,110.290001,110.290001,876300
2024-04-08,111.769997,112.529999,110.150002,112.260002,112.260002,1062300
2024-04-09,115.489998,117.860001,114.470001,116.459999,116.459999,1540000
2024-04-10,113.500000,117.690002,112.580002,116.209999,116.209999,1189800
2024-04-11,116.699997,117.169998,114.550003,116.949997,116.949997,1228500
2024-04-12,120.000000,120.370003,114.750000,115.250000,115.250000,1406700
2024-04-15,117.940002,118.150002,114.059998,114.080002,114.080002,1245200
2024-04-16,110.000000,114.690002,108.800003,113.830002,113.830002,1780800
2024-04-17,116.309998,117.230003,112.620003,114.169998,114.169998,1336000
2024-04-18,115.370003,116.610001,113.050003,115.339996,115.339996,1000600
2024-04-19,115.250000,116.300003,112.949997,113.430000,113.430000,1188500
2024-04-22,109.099998,112.629997,107.330002,111.580002,111.580002,1434600
2024-04-23,108.089996,111.599998,107.790001,109.639999,109.639999,1844700
2024-04-24,110.440002,111.449997,107.690002,109.230003,109.230003,1499200
2024-04-25,109.709999,112.820000,108.029999,111.820000,111.820000,1482000
2024-04-26,113.080002,117.769997,112.279999,116.940002,116.940002,2292700
2024-04-29,118.309998,121.000000,116.279999,120.849998,120.849998,1838800
2024-04-30,116.879997,119.900002,115.900002,116.669998,116.669998,2567900
2024-05-01,116.669998,117.610001,112.910004,115.169998,115.169998,1397300
2024-05-02,114.120003,115.379997,112.550003,113.019997,113.019997,1913200
2024-05-03,114.940002,115.750000,113.230003,115.410004,115.410004,1525500
2024-05-06,117.029999,118.190002,116.309998,118.040001,118.040001,898600
2024-05-07,116.099998,116.739998,114.830002,115.070000,115.070000,1000900
2024-05-08,112.019997,114.320000,110.910004,112.980003,112.980003,1307000
2024-05-09,113.000000,117.449997,113.000000,117.019997,117.019997,758900
2024-05-10,118.120003,120.190002,118.110001,118.750000,118.750000,1263800
2024-05-13,119.360001,121.000000,119.000000,120.669998,120.669998,883200
2024-05-14,121.379997,125.070000,121.379997,123.790001,123.790001,1419100
2024-05-15,125.459999,125.540001,118.889999,122.889999,122.889999,1259800
2024-05-16,123.160004,124.260002,120.150002,120.160004,120.160004,909500
2024-05-17,123.370003,125.540001,122.540001,125.349998,125.349998,1280500
2024-05-20,126.209999,129.789993,125.660004,129.259995,129.259995,2116900
2024-05-21,128.539993,129.279999,125.870003,126.709999,126.709999,1225600
2024-05-22,122.250000,122.269997,116.459999,116.660004,116.660004,2202900
2024-05-23,118.559998,119.209999,115.370003,116.550003,116.550003,1369600
2024-05-24,117.980003,119.730003,117.129997,117.510002,117.510002,856500
2024-05-28,122.809998,123.489998,120.000000,120.919998,120.919998,1249200
2024-05-29,119.129997,119.750000,117.940002,119.489998,119.489998,1055000
2024-05-30,116.629997,119.019997,116.339996,118.680000,118.680000,1119300
